path,action,person
./kth_actions/boxing/person08_boxing_d4_uncomp.avi,boxing,8
./kth_actions/boxing/person13_boxing_d4_uncomp.avi,boxing,13
./kth_actions/boxing/person15_boxing_d2_uncomp.avi,boxing,15
./kth_actions/boxing/person09_boxing_d4_uncomp.avi,boxing,9
./kth_actions/boxing/person15_boxing_d3_uncomp.avi,boxing,15
./kth_actions/boxing/person04_boxing_d3_uncomp.avi,boxing,4
./kth_actions/boxing/person14_boxing_d1_uncomp.avi,boxing,14
./kth_actions/boxing/person02_boxing_d1_uncomp.avi,boxing,2
./kth_actions/boxing/person09_boxing_d1_uncomp.avi,boxing,9
./kth_actions/boxing/person07_boxing_d3_uncomp.avi,boxing,7
./kth_actions/boxing/person03_boxing_d4_uncomp.avi,boxing,3
./kth_actions/boxing/person15_boxing_d4_uncomp.avi,boxing,15
./kth_actions/boxing/person06_boxing_d1_uncomp.avi,boxing,6
./kth_actions/boxing/person15_boxing_d1_uncomp.avi,boxing,15
./kth_actions/boxing/person11_boxing_d2_uncomp.avi,boxing,11
./kth_actions/boxing/person11_boxing_d3_uncomp.avi,boxing,11
./kth_actions/boxing/person12_boxing_d2_uncomp.avi,boxing,12
./kth_actions/boxing/person02_boxing_d2_uncomp.avi,boxing,2
./kth_actions/boxing/person04_boxing_d4_uncomp.avi,boxing,4
./kth_actions/boxing/person01_boxing_d2_uncomp.avi,boxing,1
./kth_actions/boxing/person01_boxing_d3_uncomp.avi,boxing,1
./kth_actions/boxing/person11_boxing_d1_uncomp.avi,boxing,11
./kth_actions/boxing/person02_boxing_d3_uncomp.avi,boxing,2
./kth_actions/boxing/person14_boxing_d2_uncomp.avi,boxing,14
./kth_actions/boxing/person14_boxing_d3_uncomp.avi,boxing,14
./kth_actions/boxing/person08_boxing_d2_uncomp.avi,boxing,8
./kth_actions/boxing/person08_boxing_d3_uncomp.avi,boxing,8
./kth_actions/boxing/person16_boxing_d1_uncomp.avi,boxing,16
./kth_actions/boxing/person12_boxing_d4_uncomp.avi,boxing,12
./kth_actions/boxing/person16_boxing_d3_uncomp.avi,boxing,16
./kth_actions/boxing/person07_boxing_d2_uncomp.avi,boxing,7
./kth_actions/boxing/person05_boxing_d4_uncomp.avi,boxing,5
./kth_actions/boxing/person03_boxing_d3_uncomp.avi,boxing,3
./kth_actions/boxing/person10_boxing_d3_uncomp.avi,boxing,10
./kth_actions/boxing/person16_boxing_d4_uncomp.avi,boxing,16
./kth_actions/boxing/person07_boxing_d1_uncomp.avi,boxing,7
./kth_actions/boxing/person06_boxing_d4_uncomp.avi,boxing,6
./kth_actions/boxing/person07_boxing_d4_uncomp.avi,boxing,7
./kth_actions/boxing/person10_boxing_d2_uncomp.avi,boxing,10
./kth_actions/boxing/person05_boxing_d2_uncomp.avi,boxing,5
./kth_actions/boxing/person05_boxing_d3_uncomp.avi,boxing,5
./kth_actions/boxing/person01_boxing_d4_uncomp.avi,boxing,1
./kth_actions/boxing/person05_boxing_d1_uncomp.avi,boxing,5
./kth_actions/boxing/person12_boxing_d1_uncomp.avi,boxing,12
./kth_actions/boxing/person01_boxing_d1_uncomp.avi,boxing,1
./kth_actions/boxing/person16_boxing_d2_uncomp.avi,boxing,16
./kth_actions/boxing/person08_boxing_d1_uncomp.avi,boxing,8
./kth_actions/boxing/person02_boxing_d4_uncomp.avi,boxing,2
./kth_actions/boxing/person11_boxing_d4_uncomp.avi,boxing,11
./kth_actions/boxing/person04_boxing_d1_uncomp.avi,boxing,4
./kth_actions/boxing/person04_boxing_d2_uncomp.avi,boxing,4
./kth_actions/boxing/person03_boxing_d2_uncomp.avi,boxing,3
./kth_actions/boxing/person13_boxing_d2_uncomp.avi,boxing,13
./kth_actions/boxing/person12_boxing_d3_uncomp.avi,boxing,12
./kth_actions/boxing/person14_boxing_d4_uncomp.avi,boxing,14
./kth_actions/boxing/person13_boxing_d3_uncomp.avi,boxing,13
./kth_actions/boxing/person09_boxing_d2_uncomp.avi,boxing,9
./kth_actions/boxing/person09_boxing_d3_uncomp.avi,boxing,9
./kth_actions/boxing/person06_boxing_d3_uncomp.avi,boxing,6
./kth_actions/boxing/person03_boxing_d1_uncomp.avi,boxing,3
